0.407 ACK: 297   | recieved
0.407 ACK: 298   | recieved
0.407 pkt: 338   | sent
0.407 pkt: 339   | sent
0.407 pkt: 340   | sent
0.407 pkt: 341   | sent
0.407 pkt: 342   | sent
0.407 pkt: 343   | sent
0.407 pkt: 344   | sent
0.407 pkt: 345   | sent
0.408 pkt: 346   | sent
0.408 pkt: 347   | sent
0.408 pkt: 348   | sent
0.408 pkt: 349   | sent
0.408 pkt: 350   | sent
0.408 pkt: 351   | sent
0.408 pkt: 352   | sent
0.408 pkt: 353   | sent
0.408 pkt: 354   | sent
0.408 pkt: 355   | sent
0.408 pkt: 356   | sent
0.408 pkt: 357   | sent
0.408 pkt: 358   | sent
0.408 pkt: 359   | sent
0.408 pkt: 360   | sent
0.408 pkt: 361   | sent
0.408 ACK: 299   | recieved
0.415 pkt: 362   | sent
0.415 ACK: 300   | recieved
0.415 ACK: 300   | recieved
0.415 pkt: 363   | sent
0.415 ACK: 300   | recieved
0.415 pkt: 364   | sent
0.415 ACK: 300   | recieved
0.387 pkt: 301   | 3 duplicated ACKs
0.415 pkt: 365   | sent
0.420 ACK: 300   | recieved
0.426 ACK: 300   | recieved
0.427 ACK: 300   | recieved
0.432 ACK: 300   | recieved
0.432 ACK: 300   | recieved
0.432 ACK: 300   | recieved
0.438 ACK: 300   | recieved
0.444 ACK: 300   | recieved
0.456 ACK: 300   | recieved
0.461 ACK: 300   | recieved
0.467 ACK: 300   | recieved
0.473 ACK: 300   | recieved
0.479 ACK: 300   | recieved
0.485 ACK: 300   | recieved
0.485 ACK: 300   | recieved
0.485 ACK: 300   | recieved
0.492 ACK: 300   | recieved
0.504 ACK: 300   | recieved
0.515 ACK: 300   | recieved
0.521 ACK: 300   | recieved
0.527 ACK: 300   | recieved
0.527 ACK: 300   | recieved
0.534 ACK: 300   | recieved
0.534 ACK: 300   | recieved
0.539 ACK: 300   | recieved
0.546 ACK: 300   | recieved
0.546 ACK: 300   | recieved
0.552 ACK: 300   | recieved
0.565 ACK: 300   | recieved
0.565 ACK: 300   | recieved
0.570 ACK: 300   | recieved
0.576 ACK: 300   | recieved
0.583 ACK: 300   | recieved
0.589 ACK: 300   | recieved
0.595 ACK: 300   | recieved
0.595 ACK: 300   | recieved
0.595 ACK: 300   | recieved
0.595 ACK: 300   | recieved
0.596 ACK: 300   | recieved
0.602 ACK: 300   | recieved
0.608 ACK: 300   | recieved
0.608 ACK: 300   | recieved
0.614 ACK: 300   | recieved
0.627 ACK: 300   | recieved
0.627 ACK: 300   | recieved
0.627 ACK: 300   | recieved
0.639 ACK: 300   | recieved
0.651 ACK: 300   | recieved
0.663 ACK: 300   | recieved
0.679 ACK: 300   | recieved
0.692 ACK: 300   | recieved
0.700 ACK: 300   | recieved
0.712 ACK: 300   | recieved
0.723 ACK: 300   | recieved
0.736 ACK: 300   | recieved
0.749 ACK: 300   | recieved
0.772 ACK: 300   | recieved
0.783 ACK: 300   | recieved
0.795 ACK: 300   | recieved
0.795 ACK: 300   | recieved
0.801 ACK: 365   | recieved
0.819 pkt: 366   | sent
0.819 ACK: 366   | recieved
0.824 pkt: 367   | sent
0.825 ACK: 367   | recieved
0.831 pkt: 368   | sent
0.831 ACK: 368   | recieved
0.836 ACK: 369   | recieved
0.847 pkt: 369   | sent
0.852 pkt: 370   | sent
0.858 pkt: 371   | sent
0.864 pkt: 372   | sent
0.870 ACK: 370   | recieved
0.870 pkt: 373   | sent
0.876 ACK: 371   | recieved
0.876 pkt: 374   | sent
0.882 ACK: 372   | recieved
0.882 pkt: 375   | sent
0.887 ACK: 373   | recieved
0.888 ACK: 374   | recieved
0.888 ACK: 375   | recieved
0.888 ACK: 376   | recieved
0.893 pkt: 376   | sent
0.899 pkt: 377   | sent
0.899 ACK: 377   | recieved
0.905 ACK: 378   | recieved
0.916 pkt: 378   | sent
0.922 pkt: 379   | sent
0.922 pkt: 380   | sent
0.929 pkt: 381   | sent
0.934 ACK: 379   | recieved
0.934 ACK: 380   | recieved
0.939 ACK: 381   | recieved
0.945 pkt: 382   | sent
0.946 ACK: 382   | recieved
0.946 pkt: 383   | sent
0.946 pkt: 384   | sent
0.951 ACK: 383   | recieved
0.951 pkt: 385   | sent
0.956 ACK: 384   | recieved
0.956 pkt: 386   | sent
0.963 ACK: 385   | recieved
0.963 pkt: 387   | sent
0.969 ACK: 386   | recieved
0.969 pkt: 388   | sent
0.975 ACK: 387   | recieved
0.975 pkt: 389   | sent
0.980 ACK: 388   | recieved
0.980 pkt: 390   | sent
0.987 ACK: 389   | recieved
0.987 pkt: 391   | sent
0.993 ACK: 390   | recieved
0.993 pkt: 392   | sent
0.999 ACK: 391   | recieved
0.999 pkt: 393   | sent
1.005 ACK: 392   | recieved
1.005 pkt: 394   | sent
1.005 pkt: 395   | sent
1.005 ACK: 393   | recieved
1.011 ACK: 394   | recieved
1.017 pkt: 396   | sent
1.017 pkt: 397   | sent
1.023 pkt: 398   | sent
1.029 pkt: 399   | sent
1.029 ACK: 395   | recieved
1.035 ACK: 396   | recieved
1.040 pkt: 400   | sent
1.040 ACK: 397   | recieved
1.040 ACK: 398   | recieved
1.040 pkt: 401   | sent
1.046 ACK: 399   | recieved
1.046 pkt: 402   | sent
1.052 ACK: 400   | recieved
1.052 pkt: 403   | sent
1.059 ACK: 401   | recieved
1.059 pkt: 404   | sent
1.065 ACK: 402   | recieved
1.071 pkt: 405   | sent
1.071 pkt: 406   | sent
1.071 pkt: 407   | sent
1.071 ACK: 403   | recieved
1.077 pkt: 408   | sent
1.077 ACK: 404   | recieved
1.084 pkt: 409   | sent
1.084 pkt: 410   | sent
1.084 ACK: 405   | recieved
1.084 ACK: 406   | recieved
1.084 pkt: 411   | sent
1.090 pkt: 412   | sent
1.090 ACK: 407   | recieved
1.090 ACK: 408   | recieved
1.096 pkt: 413   | sent
1.096 ACK: 409   | recieved
1.103 pkt: 414   | sent
1.109 ACK: 410   | recieved
1.109 ACK: 411   | recieved
1.109 pkt: 415   | sent
1.109 ACK: 412   | recieved
1.109 pkt: 416   | sent
1.109 ACK: 413   | recieved
1.109 pkt: 417   | sent
1.110 ACK: 414   | recieved
1.110 pkt: 418   | sent
1.110 ACK: 415   | recieved
1.110 pkt: 419   | sent
1.110 ACK: 416   | recieved
1.110 pkt: 420   | sent
1.110 ACK: 417   | recieved
1.110 ACK: 418   | recieved
1.110 pkt: 421   | sent
1.110 ACK: 419   | recieved
1.110 pkt: 422   | sent
1.110 ACK: 420   | recieved
1.110 pkt: 423   | sent
1.110 ACK: 421   | recieved
1.110 pkt: 424   | sent
1.110 pkt: 425   | sent
1.110 ACK: 422   | recieved
1.110 pkt: 426   | sent
1.110 pkt: 427   | sent
1.110 ACK: 423   | recieved
1.110 pkt: 428   | sent
1.111 ACK: 424   | recieved
1.111 pkt: 429   | sent
1.111 ACK: 425   | recieved
1.111 ACK: 426   | recieved
1.111 pkt: 430   | sent
1.111 ACK: 427   | recieved
1.111 pkt: 431   | sent
1.111 pkt: 432   | sent
1.111 ACK: 428   | recieved
1.111 pkt: 433   | sent
1.111 pkt: 434   | sent
1.111 ACK: 429   | recieved
1.111 pkt: 435   | sent
1.111 pkt: 436   | sent
1.111 ACK: 430   | recieved
1.111 pkt: 437   | sent
1.111 ACK: 431   | recieved
1.111 pkt: 438   | sent
1.111 ACK: 432   | recieved
1.111 pkt: 439   | sent
1.111 ACK: 433   | recieved
1.111 pkt: 440   | sent
1.111 pkt: 441   | sent
1.111 ACK: 434   | recieved
1.111 pkt: 442   | sent
1.112 ACK: 435   | recieved
1.112 ACK: 436   | recieved
1.112 ACK: 437   | recieved
1.112 pkt: 443   | sent
1.112 pkt: 444   | sent
1.112 ACK: 438   | recieved
1.112 pkt: 445   | sent
1.112 ACK: 439   | recieved
1.112 pkt: 446   | sent
1.112 ACK: 440   | recieved
1.112 ACK: 441   | recieved
1.112 pkt: 447   | sent
1.112 ACK: 442   | recieved
1.112 pkt: 448   | sent
1.112 ACK: 443   | recieved
1.112 pkt: 449   | sent
1.112 ACK: 444   | recieved
1.112 pkt: 450   | sent
1.112 ACK: 445   | recieved
1.112 pkt: 451   | sent
